event,l_space_min,l_space_mean,l_space_max,r_space_min,r_space_mean,r_space_max
1,0.27202941,0.320561658,0.344383507,0.302324329,0.372133223,0.45880279
2,0.228035085,0.26056591,0.290172363,0.183575598,0.245503222,0.319530906
2,0.172626765,0.195233251,0.223606798,0.290688837,0.42529709,0.554436651
2,0.235372046,0.256623683,0.275862284,0.338378486,0.448088473,0.542033209
2,0.23430749,0.270689081,0.354682957,0.310483494,0.325856947,0.349284984
1,0.237697286,0.304078373,0.354400903,0.344093011,0.35379868,0.37013511
1,0.178885438,0.207257209,0.246981781,0.330605505,0.41223289,0.527730992
1,0.186815417,0.250653058,0.292745623,0.296141858,0.347261597,0.382753184
1,0.256124969,0.283306185,0.308058436,0.262488095,0.314337741,0.348281495
2,0.191049732,0.253188484,0.281602557,0.252982213,0.274029415,0.295296461
1,0.155241747,0.187950259,0.228254244,0.308868904,0.421317844,0.585234996
2,0.21023796,0.21885664,0.230217289,0.219317122,0.429371525,0.543323108
1,0.240416306,0.262650709,0.300832179,0.212602916,0.276201977,0.308706981
2,0.214009346,0.26590346,0.300832179,0.302324329,0.343470849,0.393573373
2,0.171172428,0.185515695,0.206155281,0.399249296,0.416634841,0.427551167
1,0.180277564,0.183729469,0.191049732,0.408166633,0.479490116,0.570087713
1,0.200997512,0.240644304,0.256124969,0.380788655,0.468075012,0.565685425
2,0.219544984,0.235761299,0.244131112,0.342052628,0.363454287,0.395600809
1,0.180277564,0.207722471,0.240208243,0.351140997,0.457075519,0.570788928
1,0.206155281,0.211983308,0.215870331,0.45880279,0.478167404,0.498196748
1,0.203960781,0.231587378,0.253179778,0.347131099,0.396707946,0.44384682
1,0.16,0.187491631,0.213775583,0.344818793,0.401892138,0.442944692
1,0.160312195,0.17622606,0.190262976,0.417851648,0.420818624,0.427200187
1,0.15132746,0.198171047,0.220227155,0.417851648,0.428177476,0.442831797
1,0.21,0.21015864,0.21023796,0.375898923,0.399334686,0.439089968
2,0.196468827,0.209773751,0.230217289,0.371618084,0.401103331,0.438634244
1,0.18,0.188899794,0.200997512,0.32249031,0.418529577,0.553624421
4,0.170293864,0.198131875,0.23,0.389101529,0.468681573,0.536003731
2,0.181107703,0.23070667,0.360693776,0.233238076,0.282294317,0.371618084
2,0.187882942,0.210242027,0.223606798,0.302324329,0.473909113,0.590338886
1,0.214709106,0.247218734,0.26925824,0.375765885,0.444043338,0.529244745
1,0.250798724,0.276260976,0.291547595,0.335410197,0.394571839,0.488364618
4,0.228254244,0.251000715,0.282842712,0.328024389,0.362260432,0.396988665
1,0.202237484,0.223554513,0.25,0.262488095,0.337397994,0.490407993
1,0.199248588,0.208161841,0.218403297,0.308868904,0.375112539,0.471699057
2,0.202484567,0.218772889,0.25019992,0.398120585,0.405373621,0.417851648
2,0.22,0.230175682,0.237697286,0.328024389,0.396823731,0.592368129
1,0.21,0.267100812,0.358050276,0.444184646,0.528813198,0.597745765
1,0.241867732,0.280009896,0.341320963,0.344818793,0.403728784,0.468614981
2,0.228254244,0.272494844,0.33015148,0.378021163,0.407662654,0.418807832
2,0.251793566,0.264838527,0.274590604,0.320156212,0.420202769,0.512640225
1,0.238537209,0.277737505,0.325729949,0.375898923,0.445534075,0.478016736
1,0.276586334,0.295773654,0.304138127,0.336154726,0.400876846,0.486004115
2,0.25,0.282803358,0.332415403,0.407062649,0.413330674,0.423792402
2,0.230217289,0.23995551,0.2596151,0.436806593,0.495590068,0.579827561
1,0.256320112,0.300749815,0.356089876,0.427200187,0.438562697,0.470106371
1,0.242074369,0.259137777,0.298328678,0.402492236,0.458244426,0.496487663
4,0.223606798,0.262697714,0.32249031,0.376961536,0.382613994,0.389101529
1,0.225610283,0.279210859,0.313209195,0.338378486,0.442052571,0.575847202
1,0.275862284,0.28369692,0.29,0.349284984,0.405180559,0.517397333
1,0.190262976,0.235659123,0.281602557,0.349284984,0.378227082,0.407062649
2,0.174642492,0.220490122,0.26925824,0.30016662,0.398434917,0.494064773
4,0.276586334,0.3231014,0.352278299,0.304630924,0.329326511,0.364005494
2,0.223606798,0.27356208,0.339705755,0.287923601,0.405406664,0.591354378
2,0.310161248,0.346468504,0.360693776,0.358050276,0.386538507,0.432666153
1,0.268328157,0.284456945,0.319061123,0.424852916,0.496343278,0.550090902
1,0.177200451,0.258316131,0.284429253,0.384837628,0.396102011,0.411460812
4,0.131529464,0.170743783,0.214709106,0.322024844,0.393303666,0.429534632
1,0.202484567,0.229931371,0.304138127,0.136014705,0.272555553,0.389101529
1,0.215406592,0.236470007,0.261725047,0.327566787,0.386373322,0.480832611
2,0.180277564,0.215370337,0.248394847,0.281780056,0.333194209,0.363593179
2,0.186815417,0.20169121,0.222036033,0.290688837,0.421456763,0.585234996
1,0.23194827,0.295397063,0.349284984,0.434626276,0.506446617,0.56302753
1,0.298328678,0.316746483,0.336005952,0.32249031,0.378176696,0.466154481
1,0.210950231,0.273817182,0.330605505,0.326955654,0.362175999,0.385875628
1,0.193132079,0.230625697,0.26925824,0.301496269,0.398459452,0.48259714
4,0.142126704,0.228422982,0.290172363,0.301496269,0.389331877,0.447772264
4,0.152970585,0.20859219,0.321403174,0.278567766,0.337892529,0.439317653
4,0.192353841,0.26355381,0.342052628,0.33286634,0.382680465,0.445533388
4,0.228035085,0.312245305,0.35,0.347850543,0.394503256,0.490917508
4,0.197989899,0.247398836,0.315753068,0.224722051,0.328734034,0.46400431
4,0.202484567,0.245917704,0.300832179,0.224722051,0.321744732,0.416173041
4,0.286356421,0.324113995,0.362353419,0.316227766,0.373668515,0.424264069
4,0.218403297,0.281739617,0.360555128,0.100498756,0.224640851,0.323109888
4,0.214009346,0.276642916,0.352278299,0.210950231,0.347793044,0.477074418
2,0.184390889,0.248516381,0.300665928,0.286530976,0.333470306,0.420119031
2,0.177200451,0.224450783,0.259422435,0.27784888,0.427345668,0.529244745
4,0.268328157,0.297985419,0.354682957,0.334215499,0.425707081,0.512640225
2,0.152643375,0.217608991,0.330605505,0.241867732,0.323024455,0.426380112
1,0.230217289,0.242436856,0.252388589,0.424499706,0.531380732,0.582408791
2,0.238537209,0.266385834,0.294108823,0.298328678,0.421348994,0.536003731
1,0.262488095,0.278578423,0.288444102,0.374833296,0.50299818,0.595482997
2,0.262488095,0.284061213,0.313847097,0.199248588,0.423967462,0.560802996
1,0.291547595,0.302624873,0.317647603,0.178885438,0.386319637,0.550363516
2,0.288444102,0.298817078,0.317647603,0.206155281,0.414154348,0.518652099
2,0.302324329,0.305440415,0.310644491,0.192353841,0.408028513,0.523927476
2,0.252388589,0.303916161,0.32249031,0.305941171,0.434814375,0.543783045
1,0.23430749,0.278214697,0.33015148,0.302654919,0.306438736,0.314006369
2,0.180277564,0.249353202,0.335410197,0.367151195,0.37076216,0.375765885
1,0.190262976,0.275603094,0.357351368,0.30528675,0.3463312,0.367695526
2,0.130384048,0.28672528,0.345398321,0.210950231,0.243302692,0.265706605
1,0.160312195,0.282785745,0.36138622,0.27202941,0.286963426,0.312409987
2,0.219317122,0.313959822,0.362353419,0.30528675,0.314677538,0.324499615
2,0.201246118,0.261301988,0.340147027,0.30016662,0.307705314,0.317647603
1,0.244131112,0.300203153,0.360555128,0.332415403,0.486975474,0.577234788
1,0.180277564,0.263744889,0.339558537,0.389486842,0.452383691,0.494974747
2,0.169705627,0.21925527,0.275862284,0.278028775,0.325155893,0.374833296
3,0.290688837,0.30882288,0.332415403,0.254950976,0.285436383,0.308058436
2,0.294108823,0.320617681,0.360555128,0.262488095,0.341501328,0.445533388
2,0.238537209,0.291245156,0.349284984,0.201246118,0.294943697,0.364005494
1,0.222036033,0.237648303,0.260768096,0.362353419,0.474049449,0.588217647
2,0.268328157,0.28767207,0.316227766,0.364005494,0.441192201,0.544518136
1,0.246981781,0.263597546,0.287923601,0.303644529,0.39674415,0.516139516
2,0.165529454,0.23600287,0.277308492,0.281602557,0.290446697,0.295465734
2,0.161245155,0.196643647,0.222036033,0.288617394,0.36578387,0.476340215
1,0.222036033,0.297399159,0.338378486,0.319530906,0.346242774,0.371214224
1,0.230867928,0.277273022,0.361247837,0.272946881,0.376905294,0.468614981
1,0.237697286,0.249836853,0.2596151,0.263058929,0.281612767,0.304138127
2,0.13892444,0.194329571,0.245153013,0.326496554,0.404223653,0.462276973
1,0.128062485,0.189655875,0.269072481,0.322024844,0.338939652,0.353411941
1,0.268328157,0.284546461,0.302324329,0.353411941,0.423484054,0.523259018
1,0.156524758,0.191236566,0.228473193,0.294278779,0.348514444,0.551724569
2,0.174928557,0.185354103,0.194164878,0.320156212,0.401532002,0.482700735
1,0.192093727,0.245703966,0.296816442,0.298328678,0.32024102,0.347131099
2,0.155241747,0.23381759,0.284429253,0.288444102,0.323746016,0.367151195
1,0.143178211,0.205564664,0.262488095,0.288444102,0.433801393,0.572712843
1,0.23430749,0.257770066,0.270185122,0.260768096,0.368478075,0.459673797
1,0.192093727,0.234064168,0.294108823,0.241867732,0.305469458,0.375898923
2,0.205912603,0.251568343,0.332415403,0.304138127,0.346804262,0.371214224
4,0.194164878,0.248305282,0.284253408,0.262488095,0.395513761,0.538516481
4,0.264007576,0.288921134,0.320156212,0.291547595,0.362479058,0.454532727
4,0.212602916,0.252811215,0.295465734,0.318904374,0.408361507,0.528393793
2,0.272946881,0.331026128,0.358468967,0.27784888,0.335243331,0.381837662
