uid,event,avg_max
3,1,0.5308335160593893
4,1,0.48031198818572046
5,1,0.5653326176020556
7,1,0.4782782170107273
8,1,0.35915673553362737
9,1,0.42226843066903047
10,1,0.45955746279659565
11,1,0.4070630869263747
12,1,0.4904260038392587
13,1,0.5348585001869748
14,1,0.3893077026993774
15,1,0.43917721829376405
16,1,0.4287517536403315
17,1,0.40125354461537227
18,1,0.45554315488678504
19,1,0.3453073080358416
20,1,0.5782461106613678
21,1,0.4317405175325102
22,1,0.5507846390540055
23,1,0.3844541711401275
24,1,0.47333828256872396
25,1,0.4571637083247288
26,1,0.4440440186218693
27,1,0.37611907529810296
28,1,0.4294260569338107
29,1,0.5117521511533214
30,1,0.3882137031472383
31,1,0.45657990466708215
32,1,0.4254155731420362
33,1,0.46491763297093636
34,1,0.37188661545392837
35,1,0.4175744034845219
36,1,0.4104575574549297
37,1,0.4973174164174237
38,1,0.4059511927537169
39,1,0.4433013603137901
40,1,0.4389785722718695
41,1,0.4094578462771968
42,1,0.45949017402898146
43,1,0.4877167440266466
44,1,0.5272427088703568
45,1,0.4923444104770079
46,1,0.5305202014208393
47,1,0.5732311423884614
48,1,0.5710306584476482
49,1,0.5120089170441146
50,1,0.3495462351440452
51,1,0.4186454700412052
52,1,0.5117186953336541
53,1,0.5296065772736943
54,1,0.40882465377882005
55,1,0.476534895662724
56,1,0.4771756186945308
57,1,0.5191035255509825
58,1,0.46571677778589243
59,1,0.4423421271052959
60,1,0.4852390864948564
61,1,0.5312294279777934
62,1,0.5016528383906887
