uid,event,avg_max
3,2,0.526510864536523
4,2,0.4804879919897447
5,2,0.5262785468416963
7,2,0.44542919248345797
8,2,0.36288782966906447
9,2,0.4175294867694301
10,2,0.4501815958473891
11,2,0.38614982513426116
12,2,0.48461088791589885
13,2,0.5415008913047049
14,2,0.37377406446084666
15,2,0.4288928744479643
16,2,0.4219833149338152
17,2,0.3878826434173426
18,2,0.44287211762544415
19,2,0.3523758896630697
20,2,0.5046339480194876
21,2,0.43155475392299714
22,2,0.5602606985858853
23,2,0.364498639961127
24,2,0.4519987135299243
25,2,0.446640850183812
26,2,0.4386372878955678
27,2,0.3828288663384747
28,2,0.4230845302274644
29,2,0.4622096229768682
30,2,0.4017475839029641
31,2,0.4250801511925118
32,2,0.4044465489161912
33,2,0.415020311379715
34,2,0.3638932980134415
35,2,0.4150067677767857
36,2,0.41311972857911466
37,2,0.47704894837716405
38,2,0.39630879391282997
39,2,0.42276188099696976
40,2,0.4241786965864407
41,2,0.411682457029898
42,2,0.41702830600792967
43,2,0.47460792859143613
44,2,0.5229023028731471
45,2,0.4914802285140581
46,2,0.5163485645349054
47,2,0.5398585875919084
48,2,0.5457358137531098
49,2,0.4955320641023722
50,2,0.34941211587087917
51,2,0.3995838796371715
52,2,0.52562188831889
53,2,0.5201537709513359
54,2,0.4216013826884666
55,2,0.471778639625025
56,2,0.4683801839560993
57,2,0.49328272075213936
58,2,0.4463494678377941
59,2,0.437203439378119
60,2,0.48268317253599263
61,2,0.5070046941328814
62,2,0.461437385526863
